City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,Zhangye,CN,74.84,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
220,Gryazi,RU,53.6,broken clouds,52.5,39.94,Гостиница Ника
221,Nikolsk,RU,53.15,overcast clouds,53.72,46.07,Гостиница Центральная
222,Eyl,SO,77.99,few clouds,7.98,49.82,Amiin Hotel
223,Bollnas,SE,57.0,broken clouds,61.35,16.39,Grand Hotel
224,Imeni Poliny Osipenko,RU,59.68,broken clouds,52.42,136.49,Yubileynaya
225,Tabou,CI,75.38,broken clouds,4.42,-7.35,hotêl doufoulougou
226,Cockburn Town,TC,83.52,clear sky,21.46,-71.14,Osprey Beach Hotel
227,Tuktoyaktuk,CA,62.6,few clouds,69.45,-133.04,End of The Road Ltd.
229,Constitucion,CL,47.14,broken clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
230,Zaysan,KZ,67.24,clear sky,47.47,84.87,Gostinitsa Aray
232,Dong Hoi,VN,83.1,clear sky,17.48,106.6,Nam Long Hotel
233,Shimoda,JP,82.4,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
235,Narsaq,GL,50.0,clear sky,60.92,-46.05,Hotel Narsaq
236,Foam Lake,CA,80.56,clear sky,51.65,-103.53,Foam Lake Campground
237,Plaeng Yao,TH,86.0,overcast clouds,13.58,101.28,Nongkrok Resort
238,Praia Da Vitoria,PT,71.6,broken clouds,38.73,-27.07,Hotel Branco I
239,Teluk Nibung,ID,79.63,light rain,3.0,99.82,PONDOK FELISHA JUICE
240,La Espigadilla,PA,77.85,light rain,7.88,-80.38,Hostal Villa Corrales
241,Dawei,MM,79.38,overcast clouds,14.08,98.2,Hotel Dawei
242,Lively,CA,62.01,broken clouds,46.43,-81.15,Lively Inn and Suites - Sudbury
243,Asyut,EG,80.6,clear sky,27.18,31.18,Florence Hotel Assiut
244,Yar-Sale,RU,55.98,overcast clouds,66.83,70.83,Yalemd
245,Houma,US,86.0,clear sky,29.6,-90.72,Courtyard by Marriott Houma
246,Minot,US,95.0,clear sky,48.23,-101.3,Noble Inn
247,Inhambane,MZ,66.92,few clouds,-23.86,35.38,Oceano
248,Qaanaaq,GL,44.46,light rain,77.48,-69.36,Qaanaaq Hotel
249,Aras,ES,66.2,broken clouds,42.56,-2.36,Jardines de Viana Spa
250,Yuci,CN,62.6,light rain,37.68,112.73,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
251,Pacific Grove,US,82.99,smoke,36.62,-121.92,Lovers Point Inn
252,Ancud,CL,37.4,broken clouds,-41.87,-73.82,Hotel Arena Gruesa
253,Hilton Head Island,US,84.0,broken clouds,32.22,-80.75,Hampton Inn Hilton Head
254,Thompson,CA,68.0,broken clouds,55.74,-97.86,Burntwood Hotel
255,Anloga,GH,77.0,few clouds,5.79,0.9,Dey Lodge
256,Zyryanka,RU,61.02,scattered clouds,65.75,150.85,Zyryanka
257,Lagoa,PT,70.92,broken clouds,39.05,-27.98,Casa Das Faias
258,Lianzhou,CN,82.11,light rain,24.78,112.38,Qingcheng Tourism Industry
259,Gravdal,NO,52.47,overcast clouds,68.12,13.5,Skreda Rorbusuiter
260,Wuwei,CN,73.02,clear sky,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
261,Ambulu,ID,78.24,clear sky,-8.35,113.61,Hotel Ambulu Jember
262,Chegdomyn,RU,59.11,scattered clouds,51.12,133.02,Gostinitsa Bureya
263,Tyup,KG,54.9,scattered clouds,42.73,78.36,"Gostevoy Dom ""Aldayar"""
264,North Bend,US,68.0,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
266,Torbay,CA,57.99,light rain,47.67,-52.73,Gallows Cove
267,Pevek,RU,43.27,scattered clouds,69.7,170.31,Severnoye Zoloto
268,Gidam,IN,73.15,overcast clouds,18.98,81.4,Dhanshree Lodge And DormItory
269,Urumqi,CN,69.8,overcast clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
271,Smidovich,RU,66.02,broken clouds,48.6,133.82,Gostinnitsa
272,Ewo,CG,76.08,light rain,-0.87,14.82,Residence Elonda Ewo
